날짜,종가
2022-03-31,365.61
2022-03-30,364.5
2022-03-29,363.77
2022-03-28,362.06
2022-03-25,362.06
2022-03-24,363.38
2022-03-23,364.84
2022-03-22,361.66
2022-03-21,358.77
2022-03-18,362.33
2022-03-17,361.46
2022-03-16,356.09
2022-03-15,351.03
2022-03-14,354.61
2022-03-11,355.31
2022-03-10,358.01
2022-03-08,349.38
2022-03-07,353.03
2022-03-04,361.69
2022-03-03,367.06
2022-03-02,360.59
2022-02-28,361.54
2022-02-25,358.44
2022-02-24,355.04
2022-02-23,364.44
2022-02-22,363.51
2022-02-21,368.29
2022-02-18,368.55
2022-02-17,369.55
2022-02-16,367.3
2022-02-15,360.43
2022-02-14,362.98
2022-02-11,368.61
2022-02-10,371.57
2022-02-09,368.65
2022-02-08,363.48
2022-02-07,362.92
2022-02-04,366.34
2022-02-03,361.6
2022-01-28,357.98
2022-01-27,348.58
2022-01-26,360.83
2022-01-25,362.39
2022-01-24,371.3
2022-01-21,376.08
2022-01-20,380.39
2022-01-19,378.21
2022-01-18,381.01
2022-01-17,383.81
2022-01-14,387.45
2022-01-13,393
2022-01-12,394.66
2022-01-11,388.97
2022-01-10,387.52
2022-01-07,390.85
2022-01-06,386.22
2022-01-05,390.39
2022-01-04,395.4
2022-01-03,395.51
